37,"Liu Chang; Seong-Taek Park;Jia Yongfei.(2018). Using Casual Loop Diagramming to Explore the Drivers of Web Development. International Journal of Emerging Multidisciplinary Research, 2(3), 37-42. 10.22662/IJEMR.2018.2.3.037"
38,"Cecile V. Benitez.(2018). Understanding and Predicting Behavioral Intent of Food Concessionaires on Solid Waste Management in a University Campus. International Journal of Emerging Multidisciplinary Research, 2(4), 1-7. 10.22662/IJEMR.2018.2.4.001"
39,"Hong Jin; Yunting Miao.(2018). Analysis of Spicy Incense Pot Production Plan. International Journal of Emerging Multidisciplinary Research, 2(4), 9-15. 10.22662/IJEMR.2018.2.4.009"
40,"Semin Kim; Ki-Cheon Hong.(2018). Design and Development of Software Model Textbooks with Novel Engineering for After-Schools. International Journal of Emerging Multidisciplinary Research, 2(4), 17-22. 10.22662/IJEMR.2018.2.4.017"
41,"S. Kim.(2018). Developing an Model for Development of Technology & Engineering-centered integrative education program in STEM/STEAM field. International Journal of Emerging Multidisciplinary Research, 2(4), 23-29. 10.22662/IJEMR.2018.2.4.023"
42,"Guozhong Li.(2019). An Introduction to the Mobile Payment Market and Trend in China. International Journal of Emerging Multidisciplinary Research, 3(1), 1-5. 10.22662/IJEMR.2019.3.1.001"
43,"Hector John T. Manaligod, PhD1, Rogelio V. del Cano2 and Jelica R. Enriquez1.(2019). Exploring the Relationship of Sectioning in Student Performance in a Major Subject of Bachelor of Science in Information Systems. International Journal of Emerging Multidisciplinary Research, 3(1), 7-13. 10.22662/IJEMR.2019.3.1.007"
44,"Batkhurel. G; Gunbileg. Ts;Enkhchimeg. Ts.(2019). The Great Yuan Dynasty’s Contributions to Economy and Managerial Mentality Development of Mongolia. International Journal of Emerging Multidisciplinary Research, 3(1), 15-19. 10.22662/IJEMR.2019.3.1.015"
45,"Jing Li; Seung-Yong Kim.(2019). On the Development Direction and Policy of Chinese School Physical Education under the Background of 'Healthy China 2030 Program'. International Journal of Emerging Multidisciplinary Research, 3(1), 21-27. 10.22662/IJEMR.2019.3.1.021"
46,"Guangdong Yu; Chang Liu; Jingwen Niu.(2019). Comparative Study of Young Consumers' Luxury Brand Attachments in Metropolises of Korea and China. International Journal of Emerging Multidisciplinary Research, 3(2), 1-11. 10.22662/IJEMR.2019.3.2.001"
47,"Jin-woo Myung ; Sunghyuck Hong.(2019). ICS malware Triton attack and countermeasures. International Journal of Emerging Multidisciplinary Research, 3(2), 13-17. 10.22662/IJEMR.2019.3.2.013"
48,"Jeongwon Lee;Choong Ho Lee.(2019). A Study on the Possibility of Applying National Competency Standards for Software Education. International Journal of Emerging Multidisciplinary Research, 3(2), 19-21. 10.22662/IJEMR.2019.3.2.019"
49,"Cecile V. Benitez.(2019). Modeling the Critical Thinking Skills of Hospitality and Tourism Students. International Journal of Emerging Multidisciplinary Research, 3(3), 1-11. 10.22662/IJEMR.2019.3.3.001"
50,"Dr. Trisha Kumari.(2019). A study on knowledge and attitude towards digital health of rural population of india- Innovations in practice to improve healthcare in the rural population. International Journal of Emerging Multidisciplinary Research, 3(3), 13-21. 10.22662/IJEMR.2019.3.3.013"
51,"William C. Alcantara.(2019). The Classification and Quality of Service and Hotel Customers' Satisfaction. International Journal of Emerging Multidisciplinary Research, 3(3), 23-32. 10.22662/IJEMR.2019.3.3.023"
